Report ID,Report Version,Make,Model,Model Year,ADS Equipped?,Automation System Engaged?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,Weather,SV Contact Area,Country
10003-2800,4,International,LT,2022.0,No,,2025-11-21,19:57:00,Maxatawny Tounship,PA ,Street,Dry,25.0,Dark - Not Lighted,Other Fixed Object,,Proceeding Straight,,Front,US
10003-2932,1,International,LT,2022.0,Yes,,2021-11-21,19:57:00,Maxatawny Township,PA ,Street,Dry,25.0,Dark - Not Lighted,Other Fixed Object,,Proceeding Straight,,Front,US
10003-3210,1,International,LT625,2021.0,Yes,,2022-04-21,15:52:00,Tucson,AZ ,Highway / Freeway,Dry,65.0,Daylight,Other Fixed Object,No Injuries Reported,Proceeding Straight,Clear,Front,US
10003-4179,1,International,LT,2022.0,No,ADAS,2025-10-22,15:09:00,,MD ,Highway / Freeway,Dry,65.0,Daylight,Passenger Car,,Proceeding Straight,Clear,Front,US
10003-6050,2,International,LT625,2022.0,No,,2025-12-22,08:20:00,Natural Bridge,VA ,Highway / Freeway,Dry,70.0,Daylight,Other Fixed Object,No Injuries Reported,Proceeding Straight,Clear,"Back, Front, Nearside, Offside",US
10039-10291,3,BMW,i5 xDrive40,,No,ADAS,2025-03-25,16:15:00,Washington,NJ ,Highway / Freeway,Dry,,Daylight,Other Fixed Object,Minor,Changing Lanes,Clear,Front,US
10039-10316,4,BMW,XM,2023.0,No,ADAS,2025-03-25,14:06:00,Benton County,AR ,Highway / Freeway,,65.0,,First Responder Vehicle,Minor,,,"Back, Front",US
10039-1520,4,BMW,X5M,2021.0,No,ADAS,2025-08-21,,sacramento,CA ,,,,,,,,,,US
10039-3261,4,BMW,540i,2022.0,No,,2025-06-22,13:27:00,Watermill,NY ,Highway / Freeway,,,,Heavy Truck,Minor,Proceeding Straight,,Front,US
10039-3997,3,BMW,X5 sDrive40i,2020.0,No,ADAS,2025-05-22,22:25:00,Refugio,TX ,Highway / Freeway,,75.0,,Pole / Tree,Serious,Proceeding Straight,Clear,Front,US
10039-4636,4,BMW,X5,2022.0,No,ADAS,2025-12-22,07:05:00,Fairfield,CA ,Highway / Freeway,,,,Other Fixed Object,Minor,Lane / Road Departure,,Front,US
10039-4932,5,BMW,745e xDrive,2020.0,No,ADAS,2025-02-23,,Waltham,MA ,Highway / Freeway,,,,Passenger Car,No Injuries Reported,Lane / Road Departure,,Front,US
10039-5057,4,BMW,X5 M50i,2022.0,No,ADAS,2025-03-23,,Phoenix,AZ ,Highway / Freeway,,,,Van,Moderate,Proceeding Straight,,Front,US
10039-6029,5,BMW,iX xDrive50,2023.0,No,ADAS,2025-05-23,06:00:00,,NJ ,Highway / Freeway,Dry,,Daylight,Other Fixed Object,No Injuries Reported,"Other, see Narrative",Clear,"Back, Front, Nearside",US
10039-6771,3,BMW,X5 xDrive45e,2021.0,No,ADAS,2025-12-23,,Paramus,NJ ,Highway / Freeway,Wet,,Dawn / Dusk,Other Fixed Object,Minor,Proceeding Straight,Rain,"Back, Front, Nearside",US
10039-6833,4,BMW,iX xDrive50,2023.0,No,ADAS,2025-12-23,06:00:00,Bel Air,MD ,Highway / Freeway,,,"Other, see Narrative",Other Fixed Object,No Injuries Reported,Proceeding Straight,Fog/Smoke,"Back, Front, Nearside",US
10039-7994,3,BMW,M440i xDrive Coupe,2021.0,No,,2025-06-24,15:30:00,Coco Beach,FL ,Highway / Freeway,Wet,,,Heavy Truck,Minor,Proceeding Straight,Rain,"Back, Front",US
10039-8,3,BMW,X5 xDrive40i,2019.0,No,ADAS,2025-07-21,03:01:00,Miami,FL ,Highway / Freeway,,,"Other, see Narrative","Other, see Narrative",Minor,Changing Lanes,Other,"Back, Front, Offside",US
10039-8653,3,BMW,i4 eDrive35,2024.0,No,,2025-09-24,17:30:00,,CA ,Highway / Freeway,,,,Passenger Car,No Injuries Reported,Proceeding Straight,,"Back, Front",US
10039-8934,2,BMW,i7 xDrive60,2023.0,No,,2025-10-24,,,CA ,Highway / Freeway,,,,Other Fixed Object,No Injuries Reported,Proceeding Straight,,"Back, Front",US
10039-9008,3,BMW,iX xDrive50,2022.0,No,,2025-10-24,12:00:00,Upland,CA ,Highway / Freeway,,,,Other Fixed Object,No Injuries Reported,Proceeding Straight,,"Back, Front, Nearside",US
10039-9040,4,BMW,760i xDrive Sedan,2024.0,No,ADAS,2025-09-24,,,VA ,Rural Road,,,,"Other, see Narrative",Moderate,Proceeding Straight,,Bottom,US
10039-9272,2,BMW,X7 xDrive40i,2021.0,No,,2025-12-24,11:15:00,Natchitoches,LA ,Highway / Freeway,,,,Other Fixed Object,No Injuries Reported,Proceeding Straight,,Front,US
10039-9352,2,BMW,i7 eDrive50,2024.0,No,,2025-11-24,23:00:00,,CA ,Highway / Freeway,,,Dark - Lighted,Other Fixed Object,No Injuries Reported,Proceeding Straight,Clear,"Back, Front",US
10039-9844,2,BMW,iX xDrive50,2024.0,No,ADAS,2025-10-24,,,NY ,Highway / Freeway,Dry,,Dark - Lighted,SUV,No Injuries Reported,Proceeding Straight,Clear,"Back, Front, Nearside",US
1042-2072,3,Porsche,Cayenne E-hybrid,2022.0,No,ADAS,2025-12-21,13:00:00,Sandy Springs,GA ,Intersection,,,Daylight,SUV,Minor,Proceeding Straight,,Front,US
1042-2343,3,Porsche,Taycan 4 Cross Turismo,2021.0,No,ADAS,2025-02-22,,,UNK,,,,,,No Injuries Reported,Proceeding Straight,,,US
10561-1595,2,Jeep,Grand Cherokee,2021.0,No,ADAS,2025-11-21,16:00:00,Lincolnwood,IL ,Highway / Freeway,Dry,,Daylight,Pickup Truck,,Stopped,Clear,"Back, Front, Offside",US
10561-8671,2,Dodge,Charger BEV,2024.0,No,ADAS,2025-09-24,10:00:00,Baltimore,MD ,Intersection,Dry,30.0,Daylight,SUV,Minor,Making Left Turn,Clear,"Back, Offside",US
12381-10172,2,FREIGHTLINER,CASCADIA,2025.0,No,ADAS,2025-02-25,02:07:00,Sidney,OH ,Highway / Freeway,Dry,,Dark - Not Lighted,"Other, see Narrative",,Lane / Road Departure,Clear,"Back, Front, Offside",US
12381-3438,2,FREIGHTLINER,Cascadia,2021.0,Yes,ADS,2022-07-21,16:33:00,ALBUQUERQUE,NM ,Highway / Freeway,Dry,65.0,Daylight,"Other, see Narrative",No Injuries Reported,Proceeding Straight,Cloudy,Offside,US
12381-3536,2,Freightliner,Cascadia,2022.0,No,ADAS,2025-07-22,03:00:00,Keokuk,IA ,Highway / Freeway,Dry,,,"Other, see Narrative",No Injuries Reported,"Other, see Narrative",,,US
12381-3557,1,Freightliner,Cascadia,2021.0,Yes,ADS,2022-07-21,12:39:00,Santa Rosa,NM ,Highway / Freeway,Dry,75.0,Daylight,"Other, see Narrative",No Injuries Reported,Proceeding Straight,Clear,Bottom,US
12381-4095,2,Freightliner,Cascadia,2022.0,No,,2025-10-22,,,IN ,Highway / Freeway,Dry,60.0,Daylight,"Other, see Narrative",,Proceeding Straight,Clear,,US
12381-4852,4,FREIGHTLINER,Cascadia,2022.0,No,ADAS,2025-01-23,11:57:00,Lexington,SC ,Highway / Freeway,Dry,65.0,Daylight,Heavy Truck,No Injuries Reported,Proceeding Straight,Clear,"Bottom, Front",US
12381-6889,1,Freightliner,Cascadia,2023.0,Yes,ADS,2023-12-21,14:35:00,Vega,TX ,Highway / Freeway,Wet,75.0,Daylight,Animal,No Injuries Reported,Proceeding Straight,"Cloudy, Rain",Front,US
12381-8659,2,FREIGHTLINER,Cascadia,2023.0,No,ADAS,2025-09-23,09:04:00,Louisville,KY ,Highway / Freeway,,,,Heavy Truck,Serious,Proceeding Straight,,,US
1243-10019,2,Subaru,Forester,2022.0,No,ADAS,2025-02-25,12:30:00,Weed,CA ,Highway / Freeway,Dry,65.0,Daylight,Other Fixed Object,Minor,Proceeding Straight,Clear,"Back, Front",US
1243-10331,2,Subaru,Ascent,2021.0,No,ADAS,2025-02-25,,Norwalk,OH ,Highway / Freeway,Dry,60.0,,"Other, see Narrative",Moderate,Proceeding Straight,Clear,Front,US
1243-1042,4,Subaru,Outback,2020.0,No,ADAS,2025-08-21,10:00:00,Weston,WV ,Highway / Freeway,Dry,70.0,Daylight,Other Fixed Object,No Injuries Reported,Proceeding Straight,Clear,"Back, Front, Nearside",US
1243-10769,1,Subaru,Outback,2020.0,No,ADAS,2025-03-25,16:35:00,Princess Anne,MD ,Highway / Freeway,Dry,45.0,Daylight,Pole / Tree,Moderate,Proceeding Straight,Clear,"Back, Front, Nearside",US
1243-1208,3,Subaru,Outback,2020.0,No,ADAS,2025-08-21,09:10:00,,ID ,Highway / Freeway,Dry,80.0,Daylight,Other Fixed Object,Minor,Proceeding Straight,Clear,"Front, Nearside",US
1243-1246,3,Subaru,Crosstrek,2021.0,No,ADAS,2025-09-21,16:18:00,Missouri Valley,IA ,Highway / Freeway,Dry,70.0,Daylight,Other Fixed Object,No Injuries Reported,Proceeding Straight,Clear,"Back, Front, Nearside",US
1243-1379,5,Subaru,Crosstrek,2021.0,No,ADAS,2025-08-21,06:06:00,Westmoreland,NY ,Highway / Freeway,Dry,65.0,Dawn / Dusk,Heavy Truck,Minor,Proceeding Straight,Clear,Front,US
1243-1392,4,Subaru,Forester,2021.0,No,ADAS,2025-10-21,15:25:00,Riverside,CA ,Highway / Freeway,Dry,65.0,Daylight,Passenger Car,Minor,Proceeding Straight,Clear,Front,US
1243-1528,3,Subaru,Forester,2020.0,No,ADAS,2025-10-21,01:15:00,Maplewood,MO ,,Dry,35.0,,Pole / Tree,Minor,Proceeding Straight,Clear,Front,US
1243-1582,5,Subaru,Forester,2021.0,No,ADAS,2025-10-21,07:18:00,Dog Town,CA ,Highway / Freeway,Dry,65.0,Daylight,Animal,Minor,Proceeding Straight,Cloudy,Front,US
1243-1945,3,Subaru,Forester,2020.0,No,ADAS,2025-12-21,14:00:00,Greenwood,MS ,Highway / Freeway,Dry,,Daylight,Animal,No Injuries Reported,Proceeding Straight,Clear,Front,US
1243-1955,3,Subaru,Forester,2020.0,No,ADAS,2025-11-21,08:11:00,Russell Springs,KY ,Highway / Freeway,Dry,70.0,Dark - Lighted,Animal,No Injuries Reported,Proceeding Straight,Clear,Front,US
1243-3278,3,Subaru,Outback,2020.0,No,ADAS,2025-05-22,08:36:00,Warrenville Heights,OH ,Highway / Freeway,Wet,60.0,Daylight,Passenger Car,Minor,Proceeding Straight,Rain,Back,US
1243-3577,3,Subaru,Outback,2020.0,No,ADAS,2025-07-22,08:00:00,,WV ,,Dry,,Daylight,Pole / Tree,Minor,,Clear,Front,US
1243-3681,4,Subaru,Forester,2020.0,No,ADAS,2025-07-22,15:13:00,Mamaroneck,NY ,Highway / Freeway,Dry,55.0,Daylight,Other Fixed Object,No Injuries Reported,Proceeding Straight,Clear,,US
1243-38,4,Subaru,Forester,2020.0,No,ADAS,2025-07-21,04:55:00,Chazy,NY ,Highway / Freeway,Dry,65.0,Dark - Not Lighted,Animal,Minor,Proceeding Straight,,Front,US
1243-4002,4,Subaru,Forester,2021.0,No,ADAS,2025-10-22,12:50:00,San Luis Obispo,CA ,Highway / Freeway,Dry,65.0,Daylight,Van,,Changing Lanes,"Clear, Other","Front, Top",US
1243-4332,2,Subaru,Outback,2021.0,No,ADAS,2025-06-22,12:24:00,Younger Creek,KY ,Highway / Freeway,Dry,70.0,Daylight,Animal,No Injuries Reported,Proceeding Straight,Clear,Front,US
1243-4347,3,Subaru,Forester,2020.0,No,ADAS,2025-11-22,07:30:00,Covington,LA ,Highway / Freeway,Dry,70.0,Daylight,Pickup Truck,Serious,Proceeding Straight,Clear,Front,US
1243-4601,3,Subaru,Outback,2020.0,No,ADAS,2025-12-22,17:31:00,Blue Grass,IA ,Highway / Freeway,Dry,65.0,Dark - Not Lighted,Pickup Truck,Minor,Proceeding Straight,Clear,Front,US
1243-4796,4,Subaru,Crosstrek,2021.0,No,ADAS,2025-12-22,15:47:00,Cedar Park,TX ,Street,Wet,45.0,Daylight,SUV,Minor,Proceeding Straight,Cloudy,Front,US
1243-4930,4,Subaru,Outback,2021.0,No,ADAS,2025-02-23,09:40:00,Jefferson,NC ,Rural Road,,55.0,Daylight,Heavy Truck,No Injuries Reported,"Other, see Narrative",Cloudy,Front,US
1243-4978,3,Subaru,Outback,2021.0,No,ADAS,2025-11-22,00:30:00,Shallotte,NC ,Highway / Freeway,,55.0,Dark - Not Lighted,"Other, see Narrative",Moderate,Proceeding Straight,Clear,Front,US
1243-5133,2,Subaru,Outback,2020.0,No,ADAS,2025-03-23,21:40:00,Flat Top,WV ,Highway / Freeway,Dry,70.0,Dark - Not Lighted,Animal,No Injuries Reported,Proceeding Straight,Clear,Front,US
1243-5173,3,Subaru,Forester,2021.0,No,ADAS,2025-03-23,16:58:00,Marthasville,MO ,Rural Road,Dry,55.0,Daylight,,Minor,Proceeding Straight,Clear,Front,US
1243-5197,2,Subaru,Crosstrek,2021.0,No,ADAS,2025-03-23,16:00:00,Indianapolis,IN ,Highway / Freeway,Dry,,Daylight,"Other, see Narrative",No Injuries Reported,Stopped,Clear,Back,US
1243-5798,2,Subaru,Outback,2024.0,No,ADAS,2025-06-23,12:50:00,Mayflower,AR ,Highway / Freeway,Dry,75.0,Daylight,,No Injuries Reported,,Clear,,US
1243-6797,2,Subaru,Ascent,2023.0,No,ADAS,2025-12-23,17:52:00,Hainesport,NJ ,Street,Wet,45.0,Dark - Lighted,Other Fixed Object,Minor,Proceeding Straight,"Cloudy, Rain","Front, Top",US
1243-7108,2,Subaru,Outback,2022.0,No,ADAS,2025-02-24,09:57:00,Oxford,AL ,Rural Road,Wet,35.0,Daylight,Other Fixed Object,Minor,Proceeding Straight,"Cloudy, Rain","Bottom, Front",US
1243-7252,3,Subaru,Outback,2021.0,No,ADAS,2025-02-24,09:40:00,Richfield Springs,NY ,Rural Road,Snow / Slush / Ice,,Daylight,"Other, see Narrative",Moderate,Proceeding Straight,"Snow, Cloudy",Bottom,US
1243-7274,2,Subaru,Outback,2024.0,No,ADAS,2025-03-24,13:45:00,Westfield,NY ,Highway / Freeway,Dry,65.0,Daylight,Other Fixed Object,No Injuries Reported,Proceeding Straight,Clear,"Back, Front, Nearside",US
1243-7279,3,Subaru,Outback,2020.0,No,ADAS,2025-03-24,15:41:00,Victoria,TX ,Intersection,Dry,35.0,Daylight,SUV,Minor,Proceeding Straight,Clear,Front,US
1243-7850,3,Subaru,Forester,2024.0,No,ADAS,2025-06-24,10:08:00,Newport,NC ,Highway / Freeway,Dry,55.0,Daylight,"Other, see Narrative",Minor,Proceeding Straight,Clear,"Back, Bottom, Front, Nearside, Offside",US
1243-7991,2,Subaru,Legacy,2020.0,No,ADAS,2025-10-23,14:41:00,New Kent,VA ,Highway / Freeway,Dry,70.0,Daylight,Heavy Truck,Moderate,Proceeding Straight,Clear,Front,US
1243-8010,2,Subaru,Forester,2020.0,No,ADAS,2025-06-24,05:00:00,Las Vegas,NV ,Highway / Freeway,Dry,65.0,Dawn / Dusk,Other Fixed Object,Minor,Proceeding Straight,Clear,Front,US
1243-8194,3,Subaru,Outback,2020.0,No,ADAS,2025-07-24,19:30:00,Ephrata,WA ,Rural Road,Dry,60.0,Daylight,Pickup Truck,Moderate,Proceeding Straight,Clear,Front,US
1243-8206,2,Subaru,Impreza,2024.0,No,ADAS,2025-06-24,23:00:00,Vernon Hills,IL ,Street,Dry,30.0,Dark - Lighted,Pole / Tree,Minor,Proceeding Straight,Clear,Front,US
1243-8299,2,Subaru,Outback,2023.0,No,ADAS,2025-08-24,20:27:00,Edgewood,NM ,Highway / Freeway,Wet,,Dawn / Dusk,Other Fixed Object,No Injuries Reported,Proceeding Straight,"Cloudy, Rain","Back, Front, Nearside",US
1243-8428,2,Subaru,Forester,2022.0,No,ADAS,2025-08-24,10:03:00,Stuart,FL ,Street,Dry,45.0,Daylight,Other Fixed Object,No Injuries Reported,Proceeding Straight,Clear,Front,US
1243-8486,2,Subaru,Forester,2022.0,No,ADAS,2025-08-24,23:00:00,Napavine,WA ,Rural Road,Dry,25.0,,Other Fixed Object,Minor,Proceeding Straight,Clear,"Back, Front, Nearside, Offside, Top",US
1243-8635,1,Subaru,Forester,2023.0,No,ADAS,2025-09-24,18:08:00,Woodland,CA ,Highway / Freeway,Dry,70.0,Daylight,Passenger Car,No Injuries Reported,Proceeding Straight,Clear,"Back, Bottom, Front, Nearside, Offside, Top",US
1243-8674,1,Subaru,Forester,2020.0,No,ADAS,2025-09-24,07:20:00,Arnold,NE ,Highway / Freeway,Dry,65.0,Daylight,Animal,Minor,Proceeding Straight,Clear,Front,US
1243-8675,2,Subaru,Outback,2022.0,No,ADAS,2025-09-24,17:00:00,,UT ,Highway / Freeway,Dry,80.0,Daylight,"Other, see Narrative",Minor,Passing,Clear,"Back, Front, Nearside, Offside, Top",US
1243-9080,1,Subaru,Ascent,2024.0,No,ADAS,2025-11-24,22:09:00,Plainview,TX ,Rural Road,Dry,75.0,Dark - Not Lighted,Animal,No Injuries Reported,Proceeding Straight,Clear,Front,US
1243-9301,2,Subaru,Impreza,2024.0,No,ADAS,2025-12-24,17:57:00,San Diego,CA ,Highway / Freeway,Dry,55.0,Dark - Not Lighted,Pole / Tree,Minor,Proceeding Straight,Clear,"Back, Front, Nearside, Offside, Top",US
1243-9477,2,Subaru,Crosstrek,2021.0,No,ADAS,2025-11-24,12:00:00,Ehrenberg,AZ ,Highway / Freeway,Dry,35.0,Daylight,Passenger Car,No Injuries Reported,Proceeding Straight,Clear,Front,US
1243-9485,2,Subaru,Crosstrek,2024.0,No,ADAS,2025-12-24,13:30:00,Chili,NY ,Street,Dry,,Daylight,"Other, see Narrative",Minor,,Clear,Front,US
1243-9613,2,Subaru,Outback,2020.0,No,ADAS,2025-12-24,13:00:00,Heber City,UT ,Intersection,Dry,55.0,Daylight,Pickup Truck,No Injuries Reported,Proceeding Straight,Clear,Front,US
1306-10345,3,Toyota,Camry,2025.0,No,ADAS,2025-03-25,05:43:00,Delta,CO ,Highway / Freeway,Dry,,,Other Fixed Object,,Proceeding Straight,,"Back, Bottom, Front, Nearside, Offside, Top",US
1306-1065,1,Lexus,RX450H,2020.0,Yes,ADS,2021-07-21,16:15:00,Indianapolis,IN ,Street,Dry,25.0,Daylight,SUV,No Injuries Reported,Proceeding Straight,Clear,Front,US
1306-10766,1,Toyota,RAV4,2020.0,No,ADAS,2025-04-25,03:30:00,Putney,OH ,Highway / Freeway,Dry,,,Other Fixed Object,,Proceeding Straight,Clear,,US
1306-1247,1,Lexus,RX450H,2020.0,Yes,ADS,2021-08-21,11:16:00,Indianapolis,IN ,Street,Dry,25.0,Daylight,"Other, see Narrative",No Injuries Reported,Making Right Turn,Clear,Front,US
1306-1376,4,Toyota,Camry,2021.0,No,,2025-09-21,08:29:00,Orange Grove,TX ,Rural Road,Dry,70.0,Daylight,Other Fixed Object,,Proceeding Straight,Clear,Front,US
1306-1519,2,Toyota,RAV4,2019.0,No,,2025-10-21,13:45:00,Pleasanton,TX ,Highway / Freeway,Wet,,,Pole / Tree,,,"Cloudy, Rain","Front, Nearside",US
1306-2797,3,Toyota,RAV4,2021.0,No,ADAS,2025-04-22,13:18:00,Eniat,WA ,Rural Road,,,,Other Fixed Object,,Making Left Turn,,Front,US
1306-2911,2,Toyota,RAV4,2019.0,No,,2025-04-22,22:30:00,Fife,WA ,Highway / Freeway,Wet,,,Other Fixed Object,,,,Front,US
1306-3076,1,Toyota,RAV4,2019.0,No,ADAS,2025-04-22,22:30:00,Fife,WA ,Highway / Freeway,Wet,,,Other Fixed Object,,Proceeding Straight,,Front,US
1306-3355,1,Lexus,RX450H,2020.0,Yes,ADS,2022-05-21,16:11:00,Arlington,TX ,Street,Dry,25.0,Daylight,Pickup Truck,No Injuries Reported,Proceeding Straight,Clear,Offside,US
1306-3507,2,Lexus,NX 350,2022.0,No,ADAS,2025-05-22,18:48:00,Altadena,CA ,Highway / Freeway,,,Daylight,SUV,,Proceeding Straight,Clear,Front,US
1306-3573,2,Toyota,Sienna HV,2021.0,No,ADAS,2025-06-22,07:00:00,Fairfield,TX ,Highway / Freeway,Dry,,,Passenger Car,,Proceeding Straight,,Front,US
1306-3711,3,Toyota,Corolla,2021.0,No,ADAS,2025-07-22,02:59:00,Goldsboro,NC ,Highway / Freeway,,,Dark - Not Lighted,,,Proceeding Straight,,"Back, Front, Nearside, Offside, Top",US
1306-3729,3,Toyota,RAV4 HV,2022.0,No,,2025-07-22,20:29:00,Catonsville,MD ,Highway / Freeway,Dry,,,,No Injuries Reported,"Other, see Narrative",,"Back, Nearside, Offside",US
1306-3876,3,Toyota,Camry HV,2022.0,No,ADAS,2025-08-22,09:16:00,Park Hills,MO ,Highway / Freeway,Dry,,Daylight,Other Fixed Object,,Making Left Turn,Clear,"Back, Front, Nearside",US
1306-4010,1,Lexus,RX450H,2020.0,Yes,ADS,2022-08-21,16:15:00,Arlington,TX ,Intersection,Dry,25.0,Daylight,Pickup Truck,No Injuries Reported,Stopped,Clear,Back,US
1306-4235,1,Toyota,Sienna,2021.0,Yes,ADS,2022-09-21,09:02:00,Sun City,AZ ,Parking Lot,Dry,,Daylight,Passenger Car,No Injuries Reported,Backing,Clear,Front,US
1306-4286,2,Toyota,Venza,2021.0,No,ADAS,2025-11-22,13:30:00,Hopkins,KY ,Highway / Freeway,,,,Other Fixed Object,,Proceeding Straight,,,US
1306-4287,3,Lexus,RX450hL,2022.0,No,ADAS,2025-11-22,03:28:00,McDonald,NC ,Highway / Freeway,,,Dark - Not Lighted,Other Fixed Object,,Proceeding Straight,,"Back, Front, Nearside, Offside",US
1306-4389,2,Lexus,RX450H,2020.0,Yes,,2022-11-21,15:43:00,Ann Arbor,MI ,Intersection,Dry,25.0,Daylight,Non-Motorist: Cyclist,No Injuries Reported,Entering Traffic,Clear,Front,US
1306-4390,2,Toyota,Sienna,2021.0,Yes,ADS,2022-12-21,09:02:00,Sun City,AZ ,Street,Dry,30.0,Daylight,Motorcycle,No Injuries Reported,Stopped,Clear,Back,US
1306-4427,2,Lexus,NX350,2022.0,No,ADAS,2025-11-22,13:11:00,Novi,MI ,Highway / Freeway,,,Daylight,Passenger Car,,Proceeding Straight,,"Back, Front",US
1306-4717,2,Lexus,UX200,2020.0,No,ADAS,2025-01-23,10:15:00,Nash,TX ,Intersection,,55.0,,,,Proceeding Straight,,"Back, Front, Nearside",US
1306-5139,2,Toyota,Corolla Hyrbid,2023.0,No,ADAS,2025-02-23,13:13:00,Richmond,VA ,Highway / Freeway,Dry,15.0,Daylight,Other Fixed Object,No Injuries Reported,Lane / Road Departure,,Front,US
1306-5170,3,Toyota,Camry,2022.0,No,ADAS,2025-03-23,07:19:00,Vega Baja,PR ,Highway / Freeway,,,,Other Fixed Object,,Changing Lanes,,"Bottom, Front",US
1306-5424,2,Toyota,Venza HV,2021.0,No,ADAS,2025-04-23,18:59:00,White City,OR ,Highway / Freeway,,,,Other Fixed Object,,Crossing into Opposing Lane,Cloudy,"Back, Front",US
1306-5602,2,Toyota,Corolla Hybrid,2022.0,No,ADAS,2025-05-23,02:23:00,Elk Grove,CA ,Highway / Freeway,,65.0,,Other Fixed Object,,Proceeding Straight,,"Back, Bottom, Front, Nearside, Offside, Top",US
1306-5625,2,Toyota,Camry,2022.0,No,ADAS,2025-05-23,17:04:00,Converse,TX ,Rural Road,Wet,,,Pole / Tree,,Proceeding Straight,Rain,Front,US
1306-6035,2,Toyota,Venza Hybrid,2021.0,No,ADAS,2025-08-23,08:00:00,Albian,MI ,Highway / Freeway,,,Daylight,Other Fixed Object,No Injuries Reported,Proceeding Straight,,"Back, Front, Nearside",US
1306-6164,2,Toyota,Corolla Hybrid,2023.0,No,ADAS,2025-08-23,16:42:00,Northridge,CA ,Highway / Freeway,Dry,,Daylight,Other Fixed Object,,Proceeding Straight,Clear,"Back, Front, Nearside",US
1306-7737,3,Toyota,bZ4X,2023.0,No,ADAS,2025-04-24,15:09:00,,UNK,Street,Wet,,Daylight,Pickup Truck,,Proceeding Straight,"Cloudy, Rain",Front,US
1306-8084,3,Toyota,Avalon,2022.0,No,,2025-06-24,16:30:00,Phoenix,AZ ,Street,Dry,45.0,Daylight,Other Fixed Object,,Proceeding Straight,Clear,Front,US
1306-8302,2,Toyota,Highlander,2022.0,No,ADAS,2025-07-24,08:19:00,Bensalem,PA ,Highway / Freeway,Dry,,,Heavy Truck,,Lane / Road Departure,,Front,US
1306-9461,1,Toyota,Corolla Hybrid,2024.0,No,ADAS,2025-11-24,19:55:00,Big Timber,MT ,Highway / Freeway,Dry,,,Animal,No Injuries Reported,Proceeding Straight,Clear,Front,US
1306-9766,2,Toyota,Camry,2022.0,No,ADAS,2025-01-25,18:00:00,Lake Worth,FL ,,,,,"Other, see Narrative",No Injuries Reported,Lane / Road Departure,Clear,,US
13781-10000,2,Tesla,Model X,2024.0,No,ADAS,2025-02-25,14:33:00,Dover,DE ,,,,,,,,,,US
13781-10001,2,Tesla,Model Y,2024.0,No,ADAS,2025-02-25,15:19:00,Dallas,TX ,,,70.0,,"Other, see Narrative",No Injuries Reported,,Clear,,US
13781-10005,2,Tesla,Model Y,2025.0,No,,2025-01-25,06:12:00,Torrance,CA ,,,,,,Fatality,,,,US
13781-10012,1,Tesla,Model X,2016.0,No,ADAS,2025-09-23,22:50:00,East Cobb,GA ,,,,,,,,,,US
13781-10013,1,Tesla,Model 3,2023.0,No,ADAS,2025-09-23,10:17:00,Holmdel,NJ ,Highway / Freeway,Dry,65.0,Dawn / Dusk,Animal,,Proceeding Straight,Clear,Front,US
13781-10014,1,Tesla,Model Y,2023.0,No,ADAS,2025-09-23,06:36:00,Kent,WA ,Street,Wet,25.0,Dark - Not Lighted,"Other, see Narrative",,Lane / Road Departure,Clear,"Bottom, Front",US
13781-10015,1,Tesla,Model Y,2023.0,No,ADAS,2025-10-23,03:05:00,East Hanover,NJ ,Street,Dry,40.0,Dark - Lighted,Passenger Car,,Proceeding Straight,Clear,Front,US
13781-10016,1,Tesla,Model S,2020.0,No,ADAS,2025-10-23,06:55:00,Jacksonville,FL ,Street,Dry,35.0,Dark - Lighted,"Other, see Narrative",,Lane / Road Departure,Clear,"Bottom, Front",US
13781-10017,1,Tesla,Model X,2018.0,No,ADAS,2025-10-23,08:24:00,Oceanside,CA ,,,55.0,,,,,,,US
13781-10020,1,Tesla,Model X,2017.0,No,ADAS,2025-10-23,02:28:00,San Francisco,CA ,,,45.0,,,,,,,US
13781-10021,1,Tesla,Model Y,2022.0,No,ADAS,2025-10-23,10:36:00,Carlsbad,CA ,Highway / Freeway,Dry,65.0,Dark - Lighted,Other Fixed Object,,Lane / Road Departure,Clear,"Back, Front, Nearside",US
13781-10022,1,Tesla,Model X,2017.0,No,ADAS,2025-10-23,00:43:00,Thousand Oaks,CA ,Rural Road,Dry,45.0,Daylight,Passenger Car,,Lane / Road Departure,Clear,"Back, Front, Nearside",US
13781-10023,1,Tesla,Model X,2018.0,No,ADAS,2025-10-23,23:38:00,Los Angeles,CA ,,,65.0,,,,,,,US
13781-10025,1,Tesla,Model 3,2018.0,No,ADAS,2025-02-25,02:19:00,Colorado Springs,CO ,,,25.0,,,,,,,US
13781-10026,1,Tesla,Model 3,2018.0,No,ADAS,2025-02-25,19:10:00,Anaheim,CA ,,,65.0,,,,,,,US
13781-10027,1,Tesla,Model 3,2023.0,No,ADAS,2025-02-25,11:23:00,Phenix City,AL ,,,45.0,,,,,,,US
13781-10028,1,Tesla,Model S,2022.0,No,ADAS,2025-02-25,01:19:00,Scottsdale,AZ ,,,,,,,,,,US
13781-10029,1,Tesla,Cybertruck,2024.0,No,ADAS,2025-02-25,20:29:00,Apache Junction,AZ ,,,45.0,,,,,,,US
