Report ID,Report Version,Make,Model,Model Year,ADS Equipped?,Automation System Engaged?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,SV Pre-Crash Movement,Weather,SV Contact Area,Country
30270-5318,1,Jaguar,I-Pace,2021.0,Yes,ADS,2023-03-21,20:26:00,San Francisco,CA ,Parking Lot,Dry,15.0,Dark - Lighted,Other Fixed Object,No Injuries Reported,Entering Traffic,Clear,Front,US
30270-5319,1,Jaguar,I-Pace,2021.0,Yes,ADS,2023-03-21,12:03:00,Phoenix,AZ ,Street,Dry,25.0,Daylight,Heavy Truck,No Injuries Reported,Stopped,Clear,Front,US
30270-5320,1,Jaguar,I-Pace,2021.0,Yes,ADS,2023-03-21,21:28:00,San Francisco,CA ,Intersection,Wet,25.0,Dark - Lighted,Passenger Car,No Injuries Reported,Stopped,Rain,Back,US
30270-5322,1,Jaguar,I-Pace,2021.0,Yes,ADS,2023-03-21,02:19:00,San Bruno,CA ,Highway / Freeway,Dry,65.0,Dark - Lighted,"Other, see Narrative",No Injuries Reported,Proceeding Straight,Clear,"Back, Bottom",US
30270-5323,1,Jaguar,I-Pace,2021.0,Yes,ADS,2023-03-21,17:10:00,San Francisco,CA ,Intersection,Dry,35.0,Daylight,Passenger Car,No Injuries Reported,Changing Lanes,Clear,Front,US
30270-5324,1,Jaguar,I-Pace,2021.0,Yes,ADS,2023-03-21,19:00:00,Tempe,AZ ,Street,Dry,40.0,Dark - Lighted,Passenger Car,Minor,Proceeding Straight,Clear,Back,US
30270-5325,1,Jaguar,I-Pace,2021.0,Yes,ADS,2023-03-21,10:43:00,Los Angeles,CA ,Intersection,Dry,35.0,Daylight,SUV,No Injuries Reported,Stopped,Cloudy,Back,US
30270-5326,1,Jaguar,I-Pace,2021.0,Yes,ADS,2023-03-21,13:35:00,Tempe,AZ ,Intersection,Dry,35.0,Daylight,Passenger Car,No Injuries Reported,Making Right Turn,Clear,Back,US
30270-5429,2,Jaguar,I-Pace,2021.0,Yes,ADS,2023-05-21,10:32:00,San Francisco,CA ,Street,Dry,25.0,Daylight,SUV,No Injuries Reported,Proceeding Straight,Cloudy,Back,US
30270-5456,2,Jaguar,I-Pace,2021.0,Yes,ADS,2023-05-21,15:27:00,San Francisco,CA ,Street,Dry,25.0,Daylight,Non-Motorist: Cyclist,No Injuries Reported,Stopped,Clear,Front,US
30270-5584,1,Jaguar,I-PACE,2021.0,Yes,ADS,2023-04-21,22:56:00,San Francisco,CA ,Intersection,Dry,15.0,Dark - Lighted,SUV,No Injuries Reported,Stopped,Clear,Back,US
30270-5586,1,Jaguar,I-PACE,2021.0,Yes,ADS,2023-04-21,17:29:00,Santa Monica,CA ,Intersection,Dry,30.0,Daylight,SUV,No Injuries Reported,Stopped,Clear,Back,US
30270-5588,1,Chrysler,Pacifica,2017.0,Yes,ADS,2023-04-21,15:43:00,Tempe,AZ ,Intersection,Dry,45.0,Daylight,Passenger Car,No Injuries Reported,Proceeding Straight,Clear,Front,US
30270-5591,1,Jaguar,I-PACE,2021.0,Yes,ADS,2023-04-21,08:02:00,Phoenix,AZ ,Intersection,Dry,35.0,Daylight,Van,No Injuries Reported,Proceeding Straight,Clear,Back,US
