Report ID,Report Version,Make,Model,Model Year,Mileage,ADS Equipped?,Automation System Engaged?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Lighting,Crash With,Highest Injury Severity Alleged,Property Damage?,SV Pre-Crash Movement,SV Precrash Speed (MPH),Within ODD?,CP Contact Area,Weather,SV Contact Area,Country
13781-4065,2,Tesla,Model Y,2020-01-01,85884.0,No,ADAS,2025-10-22,18:32:00,Bentonville,AR ,Street,Dry,No Unusual Conditions,45.0,Daylight,Passenger Car,Unknown,Yes,Proceeding Straight,29.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Front Left, Front",Cloudy,"Front Left, Front, Front Right",US
13781-4066,2,Tesla,Model S,2021-01-01,9226.0,No,ADAS,2025-10-22,01:40:00,Estero,FL ,Street,Dry,No Unusual Conditions,50.0,Dark - Lighted,SUV,Unknown,Yes,Proceeding Straight,44.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Rear, Rear Right, Right",Clear,"Left, Front Left, Front",US
13781-4067,2,Tesla,Model 3,2020-01-01,21521.0,No,ADAS,2025-10-22,05:01:00,Austin,TX ,Street,Dry,No Unusual Conditions,45.0,Dark - Lighted,"Other, see Narrative",Unknown,Yes,Proceeding Straight,29.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Front Left, Front, Front Right, Bottom",US
13781-4068,2,Tesla,Model Y,2021-01-01,72243.0,No,ADAS,2025-10-22,13:00:00,Andover,CT ,Street,Dry,No Unusual Conditions,25.0,Daylight,Other Fixed Object,Unknown,Yes,Proceeding Straight,24.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Rear Right, Right, Front Right, Bottom",US
13781-4069,2,Tesla,Model 3,2022-01-01,33143.0,No,ADAS,2025-10-22,08:23:00,Santee,CA ,Highway / Freeway,Unknown,Unknown,65.0,Unknown,Unknown,Unknown,Yes,Unknown,82.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Missing,Missing,US
13781-4070,2,Tesla,Model Y,2021-01-01,23014.0,No,ADAS,2025-10-22,14:57:00,Houston,TX ,Street,Unknown,Unknown,40.0,Unknown,Unknown,Unknown,Yes,Proceeding Straight,40.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Missing,Missing,US
13781-4076,2,Tesla,Model Y,2021-01-01,35537.0,No,ADAS,2025-10-22,23:18:00,Southampton Township,NJ ,Street,Dry,No Unusual Conditions,40.0,Dark - Not Lighted,Unknown,Unknown,Yes,Proceeding Straight,49.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,Missing,US
13781-4084,2,Tesla,Model 3,2018-01-01,53820.0,No,ADAS,2025-10-22,21:58:00,Riverside,CA ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,"Other, see Narrative",Unknown,Yes,Proceeding Straight,31.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Rear Left, Rear, Rear Right",Clear,"Front Left, Front, Front Right",US
13781-4085,2,Tesla,Model Y,2021-01-01,41024.0,No,ADAS,2025-10-22,00:25:00,San Jose,CA ,Highway / Freeway,Dry,No Unusual Conditions,65.0,Daylight,Other Fixed Object,Unknown,Yes,Proceeding Straight,53.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Clear,"Rear Left, Left, Front Left, Front",US
13781-4086,2,Tesla,Model X,2022-01-01,9110.0,No,ADAS,2025-10-22,12:56:00,Hamilton,NJ ,Unknown,Unknown,Unknown,50.0,Unknown,Unknown,Unknown,Unknown,Proceeding Straight,17.0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Missing,Missing,Missing,US
